pmid,title,abstract,label,model_prob,mentions_consciousness,mentions_awareness,mentions_anesthesia,mentions_coma,mentions_vegetative,mentions_minimally_conscious,mentions_locked_in,mentions_sedation,mentions_arousal,mentions_neural,mentions_philosophy,mentions_qualia,mentions_subjective,mentions_phenomenology,mentions_report,mentions_religion,mentions_global_workspace,mentions_iit,mentions_mind_brain_identity,mentions_orch_or,mentions_panpsychism,mentions_dualism,mentions_monism,mentions_electromagnetic,mentions_neural_correlates,mentions_physicalism,mentions_edelman,mentions_crick,mentions_koch,mentions_dennett,mentions_baars,mentions_mcfadden,mentions_searle,mentions_chalmers,mentions_dehaene,mentions_tononi,mentions_friston,len_abstract_over_250,pred,mismatch,abs_margin
8270321,Clinical and medicolegal aspects of conscious awareness during anesthesia.,"In summary, regarding the legal aspects of awareness during anesthesia, the questions for the court to answer are: Was the patient aware? If probably yes, did the anesthesia technique cause or materially contribute to the awareness? Alternatively, if res ipsa loquitur applies, can the anesthesiologist show that the technique was not negligent, if necessary by showing that it would have been acceptable to at least a responsible minority of practitioners? It will be clear from the foregoing that good recordkeeping cannot be overemphasized. Apart from the fact that a precise and clear record tends to convince the court that they are dealing with a careful practitioner, the most important factor is that the more you have recorded about the anesthesia course, the more you will be able to tell the court about it. Finally, if you are unfortunate enough to lose and the patient is awarded damages, how much will the patient get? In the United Kingdom recently, $20,000 was awarded to patients for awareness in orthopedic and obstetric cases--perhaps a modest amount by U.S. standards. If the patient develops posttraumatic stress disorder, a much larger award is likely, especially if the patient is unable to work as a result of it; loss of earnings always increases an award, and it could easily reach $750,000 for a big earner. Insurance or other indemnity should cover this, of course, but it pays to remember one's likely exposure to risk in the event of failing to pay one's premium.",0,0.7356713013719170,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,TRUE,0.2356713013719170
16634419,Patient state index.,"The patient state index (PSI) is a clinically validated measure of the effect of anaesthesia and sedation. The PSI is calculated via a proprietary algorithm by a high-resolution 4-channel electroencephalograph (EEG) monitor after advanced artifact rejection. The PSI has been designed specifically for intra-operative and intensive care use to monitor patient sedation and drug effect. The algorithm relies on EEG power, frequency and phase information from anterior-posterior relationships of the brain as well as coherence between bilateral brain regions. The EEG monitor, initially called the PSA4000, is also the SEDLine monitor, the newest generation of the device. The SEDLine system provides the clinician the option of storing and downloading patient data for future use as well as monitoring bilateral brain function and symmetry with a density spectral array (DSA) display.",0,0.7172149775596210,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,TRUE,0.21721497755962100
19726003,Psychiatry and neuroscience.,"OBJECTIVE: To examine the extent to which neuroscience accounts for mental disorders. METHOD: Relevant literature on this problem was selectively reviewed. RESULTS: Thus far, neuroscience research has contributed more to the understanding of the brain than to determining the causes of mental disorders. Its model is more appropriate to severe than to common mental disorders. A reductionistic approach cannot account for emergent phenomena occurring at the level of the mind. CONCLUSIONS: Mental disorders cannot be reduced to abnormalities in neuronal activity; psychiatric symptoms need to be understood at multiple levels.",1,0.28403352392016300,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,TRUE,0.21596647607983700
18631826,Seizures and impairment of consciousness.,,0,0.6921969171400420,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRUE,0.19219691714004200
38789261,Transient Attention Gates Access Consciousness: Coupling N2pc and P3 Latencies Using Dynamic Time Warping.,"The N2pc and P3 event-related potentials (ERPs), used to index selective attention and access to working memory and conscious awareness, respectively, have been important tools in cognitive sciences. Although it is likely that these two components and the underlying cognitive processes are temporally and functionally linked, such links have not yet been convincingly demonstrated. Adopting a novel methodological approach based on dynamic time warping (DTW), we provide evidence that the N2pc and P3 ERP components are temporally linked. We analyzed data from an experiment where 23 participants (16 women) monitored bilateral rapid serial streams of letters and digits in order to report a target digit indicated by a shape cue, separately for trials with correct responses and trials where a temporally proximal distractor was reported instead (distractor intrusion). DTW analyses revealed that N2pc and P3 latencies were correlated in time, both when the target or a distractor was reported. Notably, this link was weaker on distractor intrusion trials. This N2pc-P3 association is discussed with respect to the relationship between attention and access consciousness. Our results demonstrate that our novel method provides a valuable approach for assessing temporal links between two cognitive processes and their underlying modulating factors. This method allows to establish links and their modulator for any two time-series across all domains of the field (general-purpose MATLAB functions and a Python module are provided alongside this paper).",1,0.31392537858955200,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,TRUE,0.18607462141044800
19818891,"How can we know if patients in coma, vegetative state or minimally conscious state are conscious?","This paper examines the claim that patients in coma, vegetative state and minimally conscious state may in fact be conscious. The topic is of great importance for a number of reasons--not least ethical. As soon as we know a given creature has any experiences at all, our ethical attitude towards it changes completely. A number of recent experiments looking for signs of intact or partially intact cognitive processing in the various stages of decreased level of consciousness are reviewed. Whether or not vegetative or coma patients are in fact conscious is an empirical issue that we yet do not know how to resolve. However, the simple fact that this is an unresolved empirical issue implies that the standard behavioural assessment is not sufficient to decide what it is like to be these patients. In other words, different and more sophisticated methods are necessary. From a theoretical position, the paper moves on to discuss differences in validity between reports (e.g. verbal) and signals (e.g. brain activations) in the study of consciousness, and whether results from experiments on the contents of consciousness may be of any use in the study of levels of consciousness. Finally, an integrated approach is suggested, which does not separate research in level and content as clearly as in current practice, and which may show a path to improved paradigms to determine whether patients in coma or vegetative state are conscious.",0,0.6752968863672780,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,TRUE,0.17529688636727800
19818912,Life can be worth living in locked-in syndrome.,"The locked-in syndrome (LIS) describes patients who are awake and conscious but severely deefferented leaving the patient in a state of almost complete immobility and loss of verbal communication. The etiology ranges from acute (e.g., brainstem stroke, which is the most frequent cause of LIS) to chronic causes (e.g., amyotrophic lateral sclerosis; ALS). In this article we review and present new data on the psychosocial adjustment to LIS. We refer to quality of life (QoL) and the degree of depressive symptoms as a measure of psychosocial adjustment. Various studies suggest that despite their extreme motor impairment, a significant number of LIS patients maintain a good QoL that seems unrelated to their state of physical functioning. Likewise, depression is not predicted by the physical state of the patients. A successful psychological adjustment to the disease was shown to be related to problem-oriented coping strategies, like seeking for information, and emotional coping strategies like denial--the latter may, nevertheless, vary with disease stage. Perceived social support seems to be the strongest predictor of psychosocial adjustment. QoL in LIS patients is often in the same range as in age-matched healthy individuals. Interestingly, there is evidence that significant others, like primary caregivers or spouses, rate LIS patients' QoL significantly lower than the patients themselves. With regard to depressed mood, ALS patients without symptoms focus significantly more often on internal factors that can be retained in the course of the disease contrary to patients with depressive symptoms who preferably name external factors as very important, such as health, which will degrade in the course of the disease. Typically, ALS patients with a higher degree of depressive symptoms experience significantly less ""very pleasant"" situations. The herein presented data strongly question the assumption among doctors, health-care workers, lay persons, and politicians that severe motor disability necessarily is intolerable and leads to end-of-life decisions or euthanasia. Existing evidence supports that biased clinicians provide less-aggressive medical treatment in LIS patients. Thus, psychological treatment for depression, effective strategies for coping with the disease, and support concerning the maintenance of the social network are needed to cope with the disease. Novel communication devices and assistive technology now offers an increasing number of LIS patients to resume a meaningful life and an active role in society.",0,0.6667605957397130,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,TRUE,0.16676059573971300
1950066,[Syndrome combinations as meta-syndromes in configuration frequency analysis].,"The paper defines metasyndromes as syndrome combinations. Within the framework of Configural Frequency Analysis the authors propose using a single test for identifying patterns of syndromes rather than applying simultaneous tests for identifying singular syndromes. The authors describe and illustrate the method using the ""classical data"" that describe symptom patterns under LSD (Lienert, 1971). The rationale of the new procedure is to combine independent tests as was proposed by Wartmann and Wette (1952) as a means for meta analysis.",0,0.6654236720127850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,TRUE,0.16542367201278500
16482783,In the face of emotions: event-related potentials in supraliminal and subliminal facial expression recognition.,"Is facial expression recognition marked by specific event-related potentials (ERPs) effects? Are conscious and unconscious elaborations of emotional facial stimuli qualitatively different processes? In Experiment 1, ERPs elicited by supraliminal stimuli were recorded when 21 participants viewed emotional facial expressions of four emotions and a neutral stimulus. Two ERP components (N2 and P3) were analyzed for their peak amplitude and latency measures. First, emotional face-specificity was observed for the negative deflection N2, whereas P3 was not affected by the content of the stimulus (emotional or neutral). A more posterior distribution of ERPs was found for N2. Moreover, a lateralization effect was revealed for negative (right lateralization) and positive (left lateralization) facial expressions. In Experiment 2 (20 participants), 1-ms subliminal stimulation was carried out. Unaware information processing was revealed to be quite similar to aware information processing for peak amplitude but not for latency. In fact, unconscious stimulation produced a more delayed peak variation than conscious stimulation.",1,0.3475058191607280,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,TRUE,0.1524941808392720
229559,[Acute intoxications by tricyclic antidepressants (author's transl)].,The authors report 87 cases of acute voluntary intoxications with tricyclic antidepressants. They essentially studied the cardiac complications; and conclude that the prognosis is more severe than for other intoxications.,1,0.3611651990084070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0.1388348009915930
31059425,Novel Signal Processing Technique for Capture and Isolation of Blink-Related Oscillations Using a Low-Density Electrode Array for Bedside Evaluation of Consciousness.,"OBJECTIVE: Blink-related oscillations derived from electroencephalography (EEG) have recently emerged as an important measure of awareness. Combined with portable EEG hardware with low-density electrode arrays, this neural marker may crucially augment the existing bedside assessments of consciousness in unresponsive patients. Nonetheless, the close relationship between signal characteristics of the neural response of interest and blink-induced oculomotor artifacts poses particular challenges when measuring blink-related oscillations using a point-of-care platform. This study presents a novel denoising approach based on time-frequency (TF) filtering that exploits the differential temporal and spectral features to isolate the neural response from ocular artifact in a low-density array. METHODS: We investigated the effectiveness of the TF filtering technique using 64-channel EEG data collected in healthy adults, with focal analysis of the Pz and POz channels. RESULTS: TF filtering showed comparable performance in denoising the signal relative to the established gold-standard independent component analysis approach, with strong similarities in morphological characteristics as measured by intraclass correlations (p < 0.001), extent of artifact rejection based on the ocular contamination index (p < 0.006), as well as time- and frequency-domain signal capture (p < 0.05). Results are robust at the individual and group levels, and are crucially validated using raw data from only four electrodes comprising Pz, POz, Fp2, and T7. CONCLUSION: These results demonstrate for the first time that TF filtering enables the successful capture and isolation of the blink-related oscillations response using a four-electrode array. SIGNIFICANCE: This significantly advances the translation of the blink-related oscillations marker to a point-of-care platform for eventual bedside applications.",0,0.6304992139834740,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,TRUE,0.1304992139834740
30039244,Disorders of Consciousness in China.,"With the development of modern international medicine, the subject of disorders of consciousness (DOCs) has begun to be raised in mainland China. Much progress has been made to date in several specialties related to the management of chronic DOC patients in China. In this article, we briefly review the present status of DOC studies in China, specifically concerning diagnosis, prognosis, therapy, and rehabilitation. The development of DOC-related scientific organizations and activities in China are introduced. Some weaknesses that need improvement are also noted. The current program provides a good foundation for future development.",0,0.6300607938863820,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,TRUE,0.13006079388638200
2634213,[Errors in nursing: in cardiac rehabilitation; during observation of the consciousness level].,,0,0.6263895360577330,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRUE,0.1263895360577330
19059583,On the signals underlying conscious awareness of action.,"To investigate whether conscious judgments of movement onset are based solely on pre-movement signals (i.e., premotor or efference copy signals) or whether sensory feedback (i.e., reafferent) signals also play a role, participants judged the onset of finger and toe movements that were either active (i.e., self initiated) or passive (i.e., initiated by the experimenter). Conscious judgments were made by reporting the position of a rotating clock hand presented on a computer screen and were then compared to the actual measured time of movement onset. In line with previous studies, judgment errors were found to be anticipatory for both finger and toe movements. There was a significant difference between judgment errors for active and passive movements, with judgments of active movements being more anticipatory than judgments of passive movements. This is consistent with a pre-movement (from here on referred to as an ""efferent"") account of action awareness because premotor and efference copy signals are only present in active movements, whereas the main source of movement information in passive movements is sensory feedback which is subject to time delays of conduction (and hence predicts later judgment times for passive movements). However, judgments of active toe movement onset time were less anticipatory than judgments of active finger movement onset time. This pattern of results is not consistent with a pure efferent account of conscious awareness of action onset - as this account predicts more anticipatory judgments for toe movements compared to finger movements. Instead, the data support the idea that conscious judgments of movement onset are based on efferent (i.e., premotor, efference copy) and reafferent (i.e., feedback from the movement) components.",0,0.6187454213296200,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,TRUE,0.11874542132962000
18175088,G-protein-coupled receptors.,"G-Protein-coupled receptors mediate many of the hypnotic and analgesic actions of the drugs employed in anesthesia. Notably, opioid agonists represent the most successful and efficacious class of analgesic agents employed over the last century. Also, major clinical advances have been made by the study of alpha(2) adrenoceptor agonists, which possess both hypnotic and analgesic qualities that are being increasingly exploited in both anesthetic and critical care settings. Furthermore orexin, gamma-aminobutyric acid (GABA) (B), and muscarinic cholinergic receptors have been identified as potential anesthetic targets; clinical exploitation of ligands at these receptors may lead to important advances in anesthetic pharmacology. In this review we discuss the relevant molecular and neural network pharmacology of anesthetic agents acting at G-protein-coupled receptors.",1,0.3814915882869030,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,TRUE,0.11850841171309700
